	Survived	Age	Sex	Pclass
231	0	29	male	3
232	0	59	male	2
233	1	5	female	3
234	0	24	male	2
236	0	44	male	2
237	1	8	female	2
238	0	19	male	2
239	0	33	male	2
242	0	29	male	2
243	0	22	male	3
244	0	30	male	3
245	0	44	male	1
246	0	25	female	3
247	1	24	female	2
248	1	37	male	1
249	0	54	male	2
251	0	29	female	3
252	0	62	male	1
253	0	30	male	3
254	0	41	female	3
255	1	29	female	3
257	1	30	female	1
258	1	35	female	1
259	1	50	female	2
261	1	3	male	3
262	0	52	male	1
263	0	40	male	1
265	0	36	male	2
266	0	16	male	3
267	1	25	male	3
268	1	58	female	1
269	1	35	female	1
271	1	25	male	3
272	1	41	female	2
273	0	37	male	1
275	1	63	female	1
276	0	45	female	3
278	0	7	male	3
279	1	35	female	3
280	0	65	male	3
281	0	28	male	3
282	0	16	male	3
283	1	19	male	3
285	0	33	male	3
286	1	30	male	3
287	0	22	male	3
288	1	42	male	2
289	1	22	female	3
290	1	26	female	1
291	1	19	female	1
292	0	36	male	2
293	0	24	female	3
294	0	24	male	3
296	0	23.5	male	3
297	0	2	female	1
299	1	50	female	1
302	0	19	male	3
305	1	0.92	male	1
307	1	17	female	1
308	0	30	male	2
309	1	30	female	1
310	1	24	female	1
311	1	18	female	1
312	0	26	female	2
313	0	28	male	3
314	0	43	male	2
315	1	26	female	3
316	1	24	female	2
317	0	54	male	2
318	1	31	female	1
319	1	40	female	1
320	0	22	male	3
321	0	27	male	3
322	1	30	female	2
323	1	22	female	2
325	1	36	female	1
326	0	61	male	3
327	1	36	female	2
328	1	31	female	3
329	1	16	female	1
331	0	45.5	male	1
332	0	38	male	1
333	0	16	male	3
336	0	29	male	1
337	1	41	female	1
338	1	45	male	3
339	0	45	male	1
340	1	2	male	2
341	1	24	female	1
342	0	28	male	2
343	0	25	male	2
344	0	36	male	2
345	1	24	female	2
346	1	40	female	2
348	1	3	male	3
349	0	42	male	3
350	0	23	male	3
352	0	15	male	3
353	0	25	male	3
355	0	28	male	3
356	1	22	female	1
357	0	38	female	2
360	0	40	male	3
361	0	29	male	2
362	0	45	female	3
363	0	35	male	3
365	0	30	male	3
366	1	60	female	1
369	1	24	female	1
370	1	25	male	1
371	0	18	male	3
372	0	19	male	3
373	0	22	male	1
374	0	3	female	3
376	1	22	female	3
377	0	27	male	1
378	0	20	male	3
379	0	19	male	3
380	1	42	female	1
381	1	1	female	3
382	0	32	male	3
383	1	35	female	1
385	0	18	male	2
386	0	1	male	3
387	1	36	female	2
389	1	17	female	2
390	1	36	male	1
391	1	21	male	3
392	0	28	male	3
393	1	23	female	1
394	1	24	female	3
395	0	22	male	3
396	0	31	female	3
397	0	46	male	2
398	0	23	male	2
399	1	28	female	2
400	1	39	male	3
401	0	26	male	3
402	0	21	female	3
403	0	28	male	3
404	0	20	female	3
405	0	34	male	2
406	0	51	male	3
407	1	3	male	2
408	0	21	male	3
412	1	33	female	1
414	1	44	male	3
416	1	34	female	2
417	1	18	female	2
418	0	30	male	2
419	0	10	female	3
421	0	21	male	3
422	0	29	male	3
423	0	28	female	3
424	0	18	male	3
426	1	28	female	2
427	1	19	female	2
429	1	32	male	3
430	1	28	male	1
432	1	42	female	2
433	0	17	male	3
434	0	50	male	1
435	1	14	female	1
436	0	21	female	3
437	1	24	female	2
438	0	64	male	1
439	0	31	male	2
440	1	45	female	2
441	0	20	male	3
442	0	25	male	3
443	1	28	female	2
445	1	4	male	1
446	1	13	female	2
447	1	34	male	1
448	1	5	female	3
449	1	52	male	1
450	0	36	male	2
452	0	30	male	1
453	1	49	male	1
455	1	29	male	3
456	0	65	male	1
458	1	50	female	2
460	1	48	male	1
461	0	34	male	3
462	0	47	male	1
463	0	48	male	2
465	0	38	male	3
467	0	56	male	1
469	1	0.75	female	3
471	0	38	male	3
472	1	33	female	2
473	1	23	female	2
474	0	22	female	3
476	0	34	male	2
477	0	29	male	3
478	0	22	male	3
479	1	2	female	3
480	0	9	male	3
482	0	50	male	3
483	1	63	female	3
484	1	25	male	1
486	1	35	female	1
487	0	58	male	1
488	0	30	male	3
489	1	9	male	3
491	0	21	male	3
492	0	55	male	1
493	0	71	male	1
494	0	21	male	3
496	1	54	female	1
498	0	25	female	1
499	0	24	male	3
500	0	17	male	3
501	0	21	female	3
503	0	37	female	3
504	1	16	female	1
505	0	18	male	1
506	1	33	female	2
508	0	28	male	3
509	1	26	male	3
510	1	29	male	3
512	1	36	male	1
513	1	54	female	1
514	0	24	male	3
515	0	47	male	1
516	1	34	female	2
518	1	36	female	2
519	0	32	male	3
520	1	30	female	1
521	0	22	male	3
523	1	44	female	1
525	0	40.5	male	3
526	1	50	female	2
528	0	39	male	3
529	0	23	male	2
530	1	2	female	2
532	0	17	male	3
534	0	30	female	3
535	1	7	female	2
536	0	45	male	1
537	1	30	female	1
539	1	22	female	1
540	1	36	female	1
541	0	9	female	3
542	0	11	female	3
543	1	32	male	2
544	0	50	male	1
545	0	64	male	1
546	1	19	female	2
548	0	33	male	3
549	1	8	male	2
550	1	17	male	1
551	0	27	male	2
553	1	22	male	3
554	1	22	female	3
555	0	62	male	1
556	1	48	female	1
558	1	39	female	1
559	1	36	female	3
561	0	40	male	3
562	0	28	male	2
565	0	24	male	3
566	0	19	male	3
567	0	29	female	3
569	1	32	male	3
570	1	62	male	2
571	1	53	female	1
572	1	36	male	1
574	0	16	male	3
575	0	19	male	3
576	1	34	female	2
577	1	39	female	1
579	1	32	male	3
580	1	25	female	2
581	1	39	female	1
582	0	54	male	2
583	0	36	male	1
585	1	18	female	1
586	0	47	male	2
587	1	60	male	1
588	0	22	male	3
590	0	35	male	3
591	1	52	female	1
592	0	47	male	3
594	0	37	male	2
595	0	36	male	3
597	0	49	male	3
599	1	49	male	1
600	1	24	female	2
603	0	44	male	3
604	1	35	male	1
605	0	36	male	3
606	0	30	male	3
607	1	27	male	1
608	1	22	female	2
609	1	40	female	1
610	0	39	female	3
614	0	35	male	3
615	1	24	female	2
616	0	34	male	3
617	0	26	female	3
618	1	4	female	2
619	0	26	male	2
620	0	27	male	3
621	1	42	male	1
622	1	20	male	3
623	0	21	male	3
624	0	21	male	3
625	0	61	male	1
626	0	57	male	2
627	1	21	female	1
628	0	26	male	3
630	1	80	male	1
631	0	51	male	3
632	1	32	male	1
634	0	9	female	3
635	1	28	female	2
636	0	32	male	3
637	0	31	male	2
638	0	41	female	3
640	0	20	male	3
641	1	24	female	1
642	0	2	female	3
644	1	0.75	female	3
645	1	48	male	1
646	0	19	male	3
647	1	56	male	1
649	1	23	female	3
651	1	18	female	2
652	0	21	male	3
654	0	18	female	3
655	0	24	male	2
657	0	32	female	3
658	0	23	male	2
659	0	58	male	1
660	1	50	male	1
661	0	40	male	3
662	0	47	male	1
663	0	36	male	3
664	1	20	male	3
665	0	32	male	2
666	0	25	male	2
668	0	43	male	3
670	1	40	female	2
671	0	31	male	1
672	0	70	male	2
673	1	31	male	2
675	0	18	male	3
676	0	24.5	male	3
677	1	18	female	3
678	0	43	female	3
679	1	36	male	1
681	1	27	male	1
682	0	20	male	3
683	0	14	male	3
684	0	60	male	2
685	0	25	male	2
686	0	14	male	3
687	0	19	male	3
688	0	18	male	3
689	1	15	female	1
690	1	31	male	1
691	1	4	female	3
693	0	25	male	3
694	0	60	male	1
695	0	52	male	2
696	0	44	male	3
698	0	49	male	1
699	0	42	male	3
700	1	18	female	1
701	1	35	male	1
702	0	18	female	3
703	0	25	male	3
704	0	26	male	3
705	0	39	male	2
706	1	45	female	2
707	1	42	male	1
708	1	22	female	1
710	1	24	female	1
712	1	48	male	1
713	0	29	male	3
714	0	52	male	2
715	0	19	male	3
716	1	38	female	1
717	1	27	female	2
719	0	33	male	3
720	1	6	female	2
721	0	17	male	3
722	0	34	male	2
723	0	50	male	2
724	1	27	male	1
725	0	20	male	3
726	1	30	female	2
728	0	25	male	2
729	0	25	female	3
730	1	29	female	1
731	0	11	male	3
733	0	23	male	2
734	0	23	male	2
735	0	28.5	male	3
736	0	48	female	3
737	1	35	male	1
741	0	36	male	1
742	1	21	female	1
743	0	24	male	3
744	1	31	male	3
745	0	70	male	1
746	0	16	male	3
747	1	30	female	2
748	0	19	male	1
749	0	31	male	3
750	1	4	female	2
751	1	6	male	3
752	0	33	male	3
753	0	23	male	3
754	1	48	female	2
755	1	0.67	male	2
756	0	28	male	3
757	0	18	male	2
758	0	34	male	3
759	1	33	female	1
761	0	41	male	3
762	1	20	male	3
763	1	36	female	1
764	0	16	male	3
765	1	51	female	1
767	0	30.5	female	3
769	0	32	male	3
770	0	24	male	3
771	0	48	male	3
772	0	57	female	2
774	1	54	female	2
775	0	18	male	3
777	1	5	female	3
779	1	43	female	1
780	1	13	female	3
781	1	17	female	1
782	0	29	male	1
784	0	25	male	3
785	0	25	male	3
786	1	18	female	3
787	0	8	male	3
788	1	1	male	3
789	0	46	male	1
791	0	16	male	2
794	0	25	male	3
795	0	39	male	2
796	1	49	female	1
797	1	31	female	3
798	0	30	male	3
799	0	30	female	3
800	0	34	male	2
801	1	31	female	2
802	1	11	male	1
803	1	0.42	male	3
804	1	27	male	3
805	0	31	male	3
806	0	39	male	1
807	0	18	female	3
808	0	39	male	2
809	1	33	female	1
810	0	26	male	3
811	0	39	male	3
812	0	35	male	2
813	0	6	female	3
814	0	30.5	male	3
816	0	23	female	3
817	0	31	male	2
818	0	43	male	3
819	0	10	male	3
820	1	52	female	1
821	1	27	male	3
822	0	38	male	1
823	1	27	female	3
824	0	2	male	3
827	1	1	male	2
829	1	62	female	1
830	1	15	female	3
831	1	0.83	male	2
833	0	23	male	3
834	0	18	male	3
835	1	39	female	1
836	0	21	male	3
838	1	32	male	3
840	0	20	male	3
841	0	16	male	2
842	1	30	female	1
843	0	34.5	male	3
844	0	17	male	3
845	0	42	male	3
847	0	35	male	3
848	0	28	male	2
850	0	4	male	3
851	0	74	male	3
852	0	9	female	3
853	1	16	female	1
854	0	44	female	2
855	1	18	female	3
856	1	45	female	1
857	1	51	male	1
858	1	24	female	3
860	0	41	male	3
861	0	21	male	2
862	1	48	female	1
864	0	24	male	2
865	1	42	female	2
866	1	27	female	2
867	0	31	male	1
869	1	4	male	3
870	0	26	male	3
871	1	47	female	1
872	0	33	male	1
873	0	47	male	3
874	1	28	female	2
875	1	15	female	3
876	0	20	male	3
877	0	19	male	3
879	1	56	female	1
880	1	25	female	2
881	0	33	male	3
882	0	22	female	3
883	0	28	male	2
884	0	25	male	3
885	0	39	female	3
886	0	27	male	2
887	1	19	female	1
889	1	26	male	1
890	0	32	male	3
